num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
100,8,[[-23.52969154]],[[-23.63818024]],[[-45.48057105]],[[-45.81650155]],44.63831594927865,"[0.7377917857469906, 0.0, 0.2622082142917241, 0.0]",0.5537995791571297,1.2324045364014957,[-0.55444942 -0.04712473 -1.28277392 -0.71782136]
200,8,[[-23.52969154]],[[-23.63818024]],[[-40.36199827]],[[-40.75188286]],62.76912016846082,"[0.7919372906328624, 0.0, 0.20806271913902552, 0.0]",0.5805050556464092,1.0734745162715458,[-0.61451971 -0.05184947 -1.13064356 -0.70297284]
500,8,[[-23.52969154]],[[-23.63818024]],[[-24.21962991]],[[-24.10291824]],11.357536724409213,"[0.4225038362741865, 0.4429323924157073, 0.0, 0.13456377131702932]",0.1502926815313733,0.2126531197655122,[-0.97612911 -0.09601716 -0.00664186 -0.77458403]
1000,8,[[-23.52969154]],[[-23.63818024]],[[-23.67984561]],[[-23.58943322]],0.02185128484088166,"[0.45068651582225844, 0.3434382059233831, 0.08931548052393748, 0.11655980132145957]",0.08982882280548081,0.060072030902823745,[-0.83247666 -0.07322192 -0.05745956 -0.76443937]
2,9,[[-23.52969154]],[[-23.63818024]],[[-24.74275438]],[[-24.72593112]],481.6746730532329,"[1.0, 6.123724959819964e-09, 1.5909424941001482e-09, 0.0]",0.7499999966729805,0.26359008395933065,[-0.9741178  -0.08018202 -0.08018203 -0.6026498 ]
5,9,[[-23.52969154]],[[-23.63818024]],[[-26.20966456]],[[-26.17274794]],56.74665782800929,"[0.9870643321677002, 0.0, 0.0, 0.012935675789049313]",0.7371778343607124,0.38185017484071876,[-0.98041661 -0.11032341 -0.04810122 -0.45636234]
10,9,[[-23.52969154]],[[-23.63818024]],[[-26.26148712]],[[-26.16110755]],431.08031232121,"[0.9522439572334542, 1.7940465250540494e-09, 0.04775604265419352, 0.0]",0.7038659060953613,0.3802700145126324,[-0.86514546 -0.07159858 -0.41352505 -0.63443299]
20,9,[[-23.52969154]],[[-23.63818024]],[[-27.07104642]],[[-27.66985417]],258.73075442246807,"[0.8746206262910516, 0.0, 0.1048755189386472, 0.020503856156549143]",0.6336956754086323,0.44281359435637685,[-0.82053385 -0.10281138 -0.3871809  -0.46911653]
50,9,[[-23.52969154]],[[-23.63818024]],[[-37.14188926]],[[-37.14188926]],196.19560036232798,"[0.8263710324446961, 0.0, 0.17362896768788563, 0.0]",0.6019556341031956,0.9538409151841504,[-0.65778997 -0.05525656 -1.01467053 -0.69178406]
100,9,[[-23.52969154]],[[-23.63818024]],[[-34.12097749]],[[-34.66549753]],65.10062914163396,"[8.17338711642619e-15, 0.4929327771998628, 0.25972204747766203, 0.24734517532570358]",0.43318761748244483,0.5818200545564105,[-0.21006673 -0.15109231 -0.15835901 -0.70158519]
200,9,[[-23.52969154]],[[-23.63818024]],[[-37.98071837]],[[-38.38625443]],49.68913315190295,"[0.8162075608635685, 0.0, 0.18379244597163122, 0.0]",0.5952904026326198,0.9907866216020559,[-0.64455391 -0.0542141  -1.05062833 -0.69524443]
500,9,[[-23.52969154]],[[-23.63818024]],[[-35.46184451]],[[-35.87525419]],84.92860957299602,"[0.8417626280216616, 0.0, 0.15823737262651638, 0.0]",0.6125537314038679,0.8951467837910334,[-0.67864006 -0.05689906 -0.95725485 -0.68627175]
1000,9,[[-23.52969154]],[[-23.63818024]],[[-25.4169072]],[[-25.08766401]],19.52908367576482,"[0.08260660481321963, 0.6789137350550261, 0.0, 0.2384796606478692]",0.4542687412586352,0.35459914934614295,[-0.91155262 -0.38762687 -0.01559994 -0.70964554]
